country,year,sex,age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),generation,new_age,sex_numeric,gdp_billion,Category
Albania,1994,female,35-54 years,2,342500,0.58,1985673798.0,697,Boomers,3,0,1.985673798,Rest of the World
Albania,1994,female,55-74 years,1,174600,0.57,1985673798.0,697,Silent,4,0,1.985673798,Rest of the World
Albania,1994,male,5-14 years,1,371800,0.27,1985673798.0,697,Millennials,0,1,1.985673798,Rest of the World
Albania,1994,female,5-14 years,0,344400,0.0,1985673798.0,697,Millennials,0,0,1.985673798,Rest of the World
Albania,1995,male,25-34 years,13,232900,5.58,2424499009.0,835,Generation X,2,1,2.424499009,Rest of the World
Albania,1995,male,55-74 years,9,178000,5.06,2424499009.0,835,Silent,4,1,2.424499009,Rest of the World
Albania,1995,female,75+ years,2,40800,4.9,2424499009.0,835,G.I. Generation,5,0,2.424499009,Rest of the World
Albania,1995,female,15-24 years,13,283500,4.59,2424499009.0,835,Generation X,1,0,2.424499009,Rest of the World
Albania,1995,male,15-24 years,11,241200,4.56,2424499009.0,835,Generation X,1,1,2.424499009,Rest of the World
Albania,1995,male,75+ years,1,25100,3.98,2424499009.0,835,G.I. Generation,5,1,2.424499009,Rest of the World
Albania,1995,male,35-54 years,14,375900,3.72,2424499009.0,835,Boomers,3,1,2.424499009,Rest of the World
Albania,1995,female,25-34 years,7,264000,2.65,2424499009.0,835,Generation X,2,0,2.424499009,Rest of the World
Albania,1995,female,35-54 years,8,356400,2.24,2424499009.0,835,Boomers,3,0,2.424499009,Rest of the World
Albania,1995,male,5-14 years,6,376500,1.59,2424499009.0,835,Millennials,0,1,2.424499009,Rest of the World
Albania,1995,female,55-74 years,2,180400,1.11,2424499009.0,835,Silent,4,0,2.424499009,Rest of the World
Albania,1995,female,5-14 years,2,348700,0.57,2424499009.0,835,Millennials,0,0,2.424499009,Rest of the World
Albania,1996,male,75+ years,2,25400,7.87,3314898292.0,1127,G.I. Generation,5,1,3.314898292,Rest of the World
Albania,1996,male,15-24 years,17,243600,6.98,3314898292.0,1127,Generation X,1,1,3.314898292,Rest of the World
Albania,1996,male,25-34 years,14,235300,5.95,3314898292.0,1127,Generation X,2,1,3.314898292,Rest of the World
Albania,1996,female,15-24 years,16,287700,5.56,3314898292.0,1127,Generation X,1,0,3.314898292,Rest of the World
Albania,1996,female,75+ years,2,41200,4.85,3314898292.0,1127,G.I. Generation,5,0,3.314898292,Rest of the World
Albania,1996,female,25-34 years,10,267900,3.73,3314898292.0,1127,Generation X,2,0,3.314898292,Rest of the World
Albania,1996,male,35-54 years,12,379600,3.16,3314898292.0,1127,Boomers,3,1,3.314898292,Rest of the World
Albania,1996,female,35-54 years,9,362000,2.49,3314898292.0,1127,Boomers,3,0,3.314898292,Rest of the World
Albania,1996,male,55-74 years,3,179900,1.67,3314898292.0,1127,Silent,4,1,3.314898292,Rest of the World
Albania,1996,female,55-74 years,1,183100,0.55,3314898292.0,1127,Silent,4,0,3.314898292,Rest of the World
Albania,1996,male,5-14 years,2,380400,0.53,3314898292.0,1127,Millennials,0,1,3.314898292,Rest of the World
Albania,1996,female,5-14 years,1,354100,0.28,3314898292.0,1127,Millennials,0,0,3.314898292,Rest of the World
Albania,1997,male,25-34 years,36,236000,15.25,2359903108.0,793,Generation X,2,1,2.359903108,Rest of the World
Albania,1997,male,15-24 years,33,244400,13.5,2359903108.0,793,Generation X,1,1,2.359903108,Rest of the World
Albania,1997,male,75+ years,3,25400,11.81,2359903108.0,793,G.I. Generation,5,1,2.359903108,Rest of the World
Albania,1997,male,35-54 years,30,380800,7.88,2359903108.0,793,Boomers,3,1,2.359903108,Rest of the World
Albania,1997,female,15-24 years,21,294000,7.14,2359903108.0,793,Generation X,1,0,2.359903108,Rest of the World
Albania,1997,male,55-74 years,12,180300,6.66,2359903108.0,793,Silent,4,1,2.359903108,Rest of the World
Albania,1997,female,25-34 years,16,273900,5.84,2359903108.0,793,Generation X,2,0,2.359903108,Rest of the World
Albania,1997,female,75+ years,2,42100,4.75,2359903108.0,793,G.I. Generation,5,0,2.359903108,Rest of the World
Albania,1997,female,35-54 years,7,370100,1.89,2359903108.0,793,Boomers,3,0,2.359903108,Rest of the World
Albania,1997,female,5-14 years,6,361800,1.66,2359903108.0,793,Millennials,0,0,2.359903108,Rest of the World
Albania,1997,male,5-14 years,4,381500,1.05,2359903108.0,793,Millennials,0,1,2.359903108,Rest of the World
Albania,1997,female,55-74 years,0,187000,0.0,2359903108.0,793,Silent,4,0,2.359903108,Rest of the World
Albania,1998,male,75+ years,3,25800,11.63,2707123772.0,899,G.I. Generation,5,1,2.707123772,Rest of the World
Albania,1998,male,15-24 years,27,248800,10.85,2707123772.0,899,Generation X,1,1,2.707123772,Rest of the World
Albania,1998,female,15-24 years,32,295600,10.83,2707123772.0,899,Generation X,1,0,2.707123772,Rest of the World
Albania,1998,male,25-34 years,26,240400,10.82,2707123772.0,899,Generation X,2,1,2.707123772,Rest of the World
Albania,1998,male,35-54 years,29,388200,7.47,2707123772.0,899,Boomers,3,1,2.707123772,Rest of the World
Albania,1998,male,55-74 years,9,183800,4.9,2707123772.0,899,Silent,4,1,2.707123772,Rest of the World
Albania,1998,female,25-34 years,10,275300,3.63,2707123772.0,899,Generation X,2,0,2.707123772,Rest of the World
Albania,1998,female,55-74 years,6,188200,3.19,2707123772.0,899,Silent,4,0,2.707123772,Rest of the World
Albania,1998,female,35-54 years,9,372100,2.42,2707123772.0,899,Boomers,3,0,2.707123772,Rest of the World
Albania,1998,male,5-14 years,2,388400,0.51,2707123772.0,899,Millennials,0,1,2.707123772,Rest of the World
Albania,1998,female,5-14 years,1,363800,0.27,2707123772.0,899,Millennials,0,0,2.707123772,Rest of the World
Albania,1998,female,75+ years,0,42300,0.0,2707123772.0,899,G.I. Generation,5,0,2.707123772,Rest of the World
Albania,1999,male,75+ years,3,25900,11.58,3414760915.0,1127,G.I. Generation,5,1,3.414760915,Rest of the World
Albania,1999,male,15-24 years,24,250600,9.58,3414760915.0,1127,Generation X,1,1,3.414760915,Rest of the World
Albania,1999,female,75+ years,4,42400,9.43,3414760915.0,1127,G.I. Generation,5,0,3.414760915,Rest of the World
Albania,1999,male,35-54 years,31,391100,7.93,3414760915.0,1127,Boomers,3,1,3.414760915,Rest of the World
Albania,1999,male,25-34 years,19,242300,7.84,3414760915.0,1127,Generation X,2,1,3.414760915,Rest of the World
Albania,1999,male,55-74 years,14,185200,7.56,3414760915.0,1127,Silent,4,1,3.414760915,Rest of the World
Albania,1999,female,15-24 years,19,296800,6.4,3414760915.0,1127,Generation X,1,0,3.414760915,Rest of the World
Albania,1999,female,25-34 years,13,276500,4.7,3414760915.0,1127,Generation X,2,0,3.414760915,Rest of the World
Albania,1999,female,55-74 years,6,188800,3.18,3414760915.0,1127,Silent,4,0,3.414760915,Rest of the World
Albania,1999,female,35-54 years,5,373600,1.34,3414760915.0,1127,Boomers,3,0,3.414760915,Rest of the World
Albania,1999,female,5-14 years,1,365200,0.27,3414760915.0,1127,Millennials,0,0,3.414760915,Rest of the World
Albania,1999,male,5-14 years,0,391300,0.0,3414760915.0,1127,Millennials,0,1,3.414760915,Rest of the World
Albania,2000,male,25-34 years,17,232000,7.33,3632043908.0,1299,Generation X,2,1,3.632043908,Rest of the World
Albania,2000,male,55-74 years,10,177400,5.64,3632043908.0,1299,Silent,4,1,3.632043908,Rest of the World
Albania,2000,female,75+ years,2,37800,5.29,3632043908.0,1299,G.I. Generation,5,0,3.632043908,Rest of the World
Albania,2000,male,75+ years,1,24900,4.02,3632043908.0,1299,G.I. Generation,5,1,3.632043908,Rest of the World
Albania,2000,female,15-24 years,6,263900,2.27,3632043908.0,1299,Generation X,1,0,3.632043908,Rest of the World
Albania,2000,male,15-24 years,5,240000,2.08,3632043908.0,1299,Generation X,1,1,3.632043908,Rest of the World
Albania,2000,female,35-54 years,5,332200,1.51,3632043908.0,1299,Boomers,3,0,3.632043908,Rest of the World
Albania,2000,female,25-34 years,3,245800,1.22,3632043908.0,1299,Generation X,2,0,3.632043908,Rest of the World
Albania,2000,male,35-54 years,4,374700,1.07,3632043908.0,1299,Boomers,3,1,3.632043908,Rest of the World
Albania,2000,male,5-14 years,1,374900,0.27,3632043908.0,1299,Millennials,0,1,3.632043908,Rest of the World
Albania,2000,female,5-14 years,0,324700,0.0,3632043908.0,1299,Millennials,0,0,3.632043908,Rest of the World
Albania,2000,female,55-74 years,0,168000,0.0,3632043908.0,1299,Silent,4,0,3.632043908,Rest of the World
Albania,2001,male,25-34 years,22,206484,10.65,4060758804.0,1451,Generation X,2,1,4.060758804,Rest of the World
Albania,2001,male,35-54 years,34,378826,8.98,4060758804.0,1451,Boomers,3,1,4.060758804,Rest of the World
Albania,2001,male,55-74 years,11,196670,5.59,4060758804.0,1451,Silent,4,1,4.060758804,Rest of the World
Albania,2001,female,75+ years,2,47254,4.23,4060758804.0,1451,Silent,5,0,4.060758804,Rest of the World
Albania,2001,male,15-24 years,10,256039,3.91,4060758804.0,1451,Millennials,1,1,4.060758804,Rest of the World
Albania,2001,female,15-24 years,9,271359,3.32,4060758804.0,1451,Millennials,1,0,4.060758804,Rest of the World
Albania,2001,female,35-54 years,12,370191,3.24,4060758804.0,1451,Boomers,3,0,4.060758804,Rest of the World
Albania,2001,male,75+ years,1,31044,3.22,4060758804.0,1451,Silent,5,1,4.060758804,Rest of the World
Albania,2001,female,55-74 years,6,189799,3.16,4060758804.0,1451,Silent,4,0,4.060758804,Rest of the World
Albania,2001,male,5-14 years,6,321556,1.87,4060758804.0,1451,Millennials,0,1,4.060758804,Rest of the World
Albania,2001,female,25-34 years,4,222771,1.8,4060758804.0,1451,Generation X,2,0,4.060758804,Rest of the World
Albania,2001,female,5-14 years,2,307356,0.65,4060758804.0,1451,Millennials,0,0,4.060758804,Rest of the World
Albania,2002,male,75+ years,4,31007,12.9,4435078648.0,1573,Silent,5,1,4.435078648,Rest of the World
Albania,2002,male,25-34 years,23,206286,11.15,4435078648.0,1573,Generation X,2,1,4.435078648,Rest of the World
Albania,2002,male,35-54 years,35,382139,9.16,4435078648.0,1573,Boomers,3,1,4.435078648,Rest of the World
Albania,2002,male,55-74 years,13,198130,6.56,4435078648.0,1573,Silent,4,1,4.435078648,Rest of the World
Albania,2002,male,15-24 years,15,263067,5.7,4435078648.0,1573,Millennials,1,1,4.435078648,Rest of the World
Albania,2002,female,15-24 years,14,275970,5.07,4435078648.0,1573,Millennials,1,0,4.435078648,Rest of the World
Albania,2002,female,35-54 years,15,375113,4.0,4435078648.0,1573,Boomers,3,0,4.435078648,Rest of the World
Albania,2002,female,25-34 years,7,223685,3.13,4435078648.0,1573,Generation X,2,0,4.435078648,Rest of the World
Albania,2002,female,75+ years,1,47407,2.11,4435078648.0,1573,Silent,5,0,4.435078648,Rest of the World
Albania,2002,female,55-74 years,4,191712,2.09,4435078648.0,1573,Silent,4,0,4.435078648,Rest of the World
Albania,2002,female,5-14 years,1,304850,0.33,4435078648.0,1573,Millennials,0,0,4.435078648,Rest of the World
Albania,2002,male,5-14 years,1,319473,0.31,4435078648.0,1573,Millennials,0,1,4.435078648,Rest of the World
Albania,2003,female,75+ years,6,49088,12.22,5746945913.0,2021,Silent,5,0,5.746945913,Rest of the World
Albania,2003,male,55-74 years,16,201520,7.94,5746945913.0,2021,Silent,4,1,5.746945913,Rest of the World
Albania,2003,male,35-54 years,28,386196,7.25,5746945913.0,2021,Boomers,3,1,5.746945913,Rest of the World
Albania,2003,male,15-24 years,15,273235,5.49,5746945913.0,2021,Millennials,1,1,5.746945913,Rest of the World
Albania,2003,female,15-24 years,14,283709,4.93,5746945913.0,2021,Millennials,1,0,5.746945913,Rest of the World
Albania,2003,female,55-74 years,9,195699,4.6,5746945913.0,2021,Silent,4,0,5.746945913,Rest of the World
Albania,2003,male,25-34 years,9,205433,4.38,5746945913.0,2021,Generation X,2,1,5.746945913,Rest of the World
Albania,2003,female,25-34 years,9,222941,4.04,5746945913.0,2021,Generation X,2,0,5.746945913,Rest of the World
Albania,2003,female,35-54 years,13,381760,3.41,5746945913.0,2021,Boomers,3,0,5.746945913,Rest of the World
Albania,2003,male,75+ years,1,32667,3.06,5746945913.0,2021,Silent,5,1,5.746945913,Rest of the World
Albania,2003,male,5-14 years,4,313204,1.28,5746945913.0,2021,Millennials,0,1,5.746945913,Rest of the World
Albania,2003,female,5-14 years,0,298477,0.0,5746945913.0,2021,Millennials,0,0,5.746945913,Rest of the World
Albania,2004,male,75+ years,4,35526,11.26,7314865176.0,2544,Silent,5,1,7.314865176,Rest of the World
Albania,2004,male,35-54 years,39,391767,9.95,7314865176.0,2544,Boomers,3,1,7.314865176,Rest of the World
Albania,2004,male,25-34 years,16,203938,7.85,7314865176.0,2544,Generation X,2,1,7.314865176,Rest of the World
Albania,2004,female,15-24 years,20,292268,6.84,7314865176.0,2544,Millennials,1,0,7.314865176,Rest of the World
Albania,2004,male,15-24 years,19,286768,6.63,7314865176.0,2544,Millennials,1,1,7.314865176,Rest of the World
Albania,2004,female,75+ years,3,50970,5.89,7314865176.0,2544,Silent,5,0,7.314865176,Rest of the World
Albania,2004,female,25-34 years,11,222389,4.95,7314865176.0,2544,Generation X,2,0,7.314865176,Rest of the World
Albania,2004,male,55-74 years,10,207202,4.83,7314865176.0,2544,Silent,4,1,7.314865176,Rest of the World
Albania,2004,female,35-54 years,17,391436,4.34,7314865176.0,2544,Boomers,3,0,7.314865176,Rest of the World
Albania,2004,female,55-74 years,3,203841,1.47,7314865176.0,2544,Silent,4,0,7.314865176,Rest of the World
Albania,2004,female,5-14 years,3,286705,1.05,7314865176.0,2544,Millennials,0,0,7.314865176,Rest of the World
Albania,2004,male,5-14 years,1,302181,0.33,7314865176.0,2544,Millennials,0,1,7.314865176,Rest of the World
Albania,2005,female,15-24 years,0,281922,0.0,8158548717.0,2931,Millennials,1,0,8.158548717,Rest of the World
Albania,2005,female,25-34 years,0,190745,0.0,8158548717.0,2931,Generation X,2,0,8.158548717,Rest of the World
Albania,2005,female,35-54 years,0,386513,0.0,8158548717.0,2931,Boomers,3,0,8.158548717,Rest of the World
Albania,2005,female,5-14 years,0,276559,0.0,8158548717.0,2931,Millennials,0,0,8.158548717,Rest of the World
Albania,2005,female,55-74 years,0,210998,0.0,8158548717.0,2931,Silent,4,0,8.158548717,Rest of the World
Albania,2005,female,75+ years,0,53191,0.0,8158548717.0,2931,Silent,5,0,8.158548717,Rest of the World
Albania,2005,male,15-24 years,0,281675,0.0,8158548717.0,2931,Millennials,1,1,8.158548717,Rest of the World
Albania,2005,male,25-34 years,0,177519,0.0,8158548717.0,2931,Generation X,2,1,8.158548717,Rest of the World
Albania,2005,male,35-54 years,0,380242,0.0,8158548717.0,2931,Boomers,3,1,8.158548717,Rest of the World
Albania,2005,male,5-14 years,0,291367,0.0,8158548717.0,2931,Millennials,0,1,8.158548717,Rest of the World
Albania,2005,male,55-74 years,0,214118,0.0,8158548717.0,2931,Silent,4,1,8.158548717,Rest of the World
Albania,2005,male,75+ years,0,38471,0.0,8158548717.0,2931,Silent,5,1,8.158548717,Rest of the World
Albania,2006,female,15-24 years,0,283138,0.0,8992642349.0,3235,Millennials,1,0,8.992642349,Rest of the World
Albania,2006,female,25-34 years,0,186391,0.0,8992642349.0,3235,Generation X,2,0,8.992642349,Rest of the World
Albania,2006,female,35-54 years,0,388746,0.0,8992642349.0,3235,Boomers,3,0,8.992642349,Rest of the World
Albania,2006,female,5-14 years,0,267316,0.0,8992642349.0,3235,Millennials,0,0,8.992642349,Rest of the World
Albania,2006,female,55-74 years,0,215907,0.0,8992642349.0,3235,Silent,4,0,8.992642349,Rest of the World
Albania,2006,female,75+ years,0,56011,0.0,8992642349.0,3235,Silent,5,0,8.992642349,Rest of the World
Albania,2006,male,15-24 years,0,286679,0.0,8992642349.0,3235,Millennials,1,1,8.992642349,Rest of the World
Albania,2006,male,25-34 years,0,174092,0.0,8992642349.0,3235,Generation X,2,1,8.992642349,Rest of the World
Albania,2006,male,35-54 years,0,379076,0.0,8992642349.0,3235,Boomers,3,1,8.992642349,Rest of the World
Albania,2006,male,5-14 years,0,282678,0.0,8992642349.0,3235,Millennials,0,1,8.992642349,Rest of the World
Albania,2006,male,55-74 years,0,219360,0.0,8992642349.0,3235,Silent,4,1,8.992642349,Rest of the World
Albania,2006,male,75+ years,0,40782,0.0,8992642349.0,3235,Silent,5,1,8.992642349,Rest of the World
Albania,2007,male,75+ years,8,42366,18.88,10701011897.0,3863,Silent,5,1,10.701011897,Rest of the World
Albania,2007,male,35-54 years,29,378626,7.66,10701011897.0,3863,Boomers,3,1,10.701011897,Rest of the World
Albania,2007,male,55-74 years,14,224160,6.25,10701011897.0,3863,Silent,4,1,10.701011897,Rest of the World
Albania,2007,female,75+ years,3,57404,5.23,10701011897.0,3863,Silent,5,0,10.701011897,Rest of the World
Albania,2007,male,25-34 years,9,172494,5.22,10701011897.0,3863,Generation X,2,1,10.701011897,Rest of the World
Albania,2007,female,15-24 years,13,281080,4.63,10701011897.0,3863,Millennials,1,0,10.701011897,Rest of the World
Albania,2007,male,15-24 years,13,288349,4.51,10701011897.0,3863,Millennials,1,1,10.701011897,Rest of the World
Albania,2007,female,25-34 years,8,183629,4.36,10701011897.0,3863,Generation X,2,0,10.701011897,Rest of the World
Albania,2007,female,55-74 years,9,221120,4.07,10701011897.0,3863,Silent,4,0,10.701011897,Rest of the World
Albania,2007,female,35-54 years,14,391811,3.57,10701011897.0,3863,Boomers,3,0,10.701011897,Rest of the World
Albania,2007,male,5-14 years,4,272497,1.47,10701011897.0,3863,Generation Z,0,1,10.701011897,Rest of the World
Albania,2007,female,5-14 years,0,256808,0.0,10701011897.0,3863,Generation Z,0,0,10.701011897,Rest of the World
Albania,2008,male,25-34 years,21,172855,12.15,12881352688.0,4672,Generation X,2,1,12.881352688,Rest of the World
Albania,2008,male,35-54 years,37,377119,9.81,12881352688.0,4672,Boomers,3,1,12.881352688,Rest of the World
Albania,2008,male,55-74 years,21,228672,9.18,12881352688.0,4672,Silent,4,1,12.881352688,Rest of the World
Albania,2008,female,75+ years,5,59369,8.42,12881352688.0,4672,Silent,5,0,12.881352688,Rest of the World
Albania,2008,female,15-24 years,20,276073,7.24,12881352688.0,4672,Millennials,1,0,12.881352688,Rest of the World
Albania,2008,female,25-34 years,9,182663,4.93,12881352688.0,4672,Generation X,2,0,12.881352688,Rest of the World
Albania,2008,female,35-54 years,19,393832,4.82,12881352688.0,4672,Boomers,3,0,12.881352688,Rest of the World
Albania,2008,male,75+ years,2,44574,4.49,12881352688.0,4672,Silent,5,1,12.881352688,Rest of the World
Albania,2008,male,15-24 years,11,286702,3.84,12881352688.0,4672,Millennials,1,1,12.881352688,Rest of the World
Albania,2008,female,55-74 years,7,226448,3.09,12881352688.0,4672,Silent,4,0,12.881352688,Rest of the World
Albania,2008,male,5-14 years,7,262464,2.67,12881352688.0,4672,Generation Z,0,1,12.881352688,Rest of the World
Albania,2008,female,5-14 years,1,246288,0.41,12881352688.0,4672,Generation Z,0,0,12.881352688,Rest of the World
Albania,2009,female,15-24 years,0,270003,0.0,12044212904.0,4387,Millennials,1,0,12.044212904,Rest of the World
Albania,2009,female,25-34 years,0,182712,0.0,12044212904.0,4387,Generation X,2,0,12.044212904,Rest of the World
Albania,2009,female,35-54 years,0,394286,0.0,12044212904.0,4387,Boomers,3,0,12.044212904,Rest of the World
Albania,2009,female,5-14 years,0,236174,0.0,12044212904.0,4387,Generation Z,0,0,12.044212904,Rest of the World
Albania,2009,female,55-74 years,0,233302,0.0,12044212904.0,4387,Silent,4,0,12.044212904,Rest of the World
Albania,2009,female,75+ years,0,61582,0.0,12044212904.0,4387,Silent,5,0,12.044212904,Rest of the World
Albania,2009,male,15-24 years,0,283448,0.0,12044212904.0,4387,Millennials,1,1,12.044212904,Rest of the World
Albania,2009,male,25-34 years,0,174955,0.0,12044212904.0,4387,Generation X,2,1,12.044212904,Rest of the World
Albania,2009,male,35-54 years,0,374365,0.0,12044212904.0,4387,Boomers,3,1,12.044212904,Rest of the World
Albania,2009,male,5-14 years,0,253007,0.0,12044212904.0,4387,Generation Z,0,1,12.044212904,Rest of the World
